iso_code,continent,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,gdp_per_capita
ECU,South America,Ecuador,2020-03-27,90.404,10.882,2.04,0.113,17643060,66.939,10581.936
PER,South America,Peru,2020-03-27,19.259,1.668,2.153,0.243,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-28,6.339,1.114,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-28,11.949,1.356,0.118,0,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-28,103.327,12.923,2.721,0.68,17643060,66.939,10581.936
PER,South America,Peru,2020-03-28,20.351,1.092,2.608,0.455,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-29,6.939,0.6,0.086,0.086,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-29,13.796,1.847,0.197,0.079,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-29,109.051,5.725,3.287,0.567,17643060,66.939,10581.936
PER,South America,Peru,2020-03-29,25.84,5.49,2.881,0.273,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-30,8.31,1.371,0.343,0.257,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-30,15.683,1.887,0.236,0.039,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-30,111.205,2.154,3.401,0.113,17643060,66.939,10581.936
PER,South America,Peru,2020-03-30,28.812,2.972,3.427,0.546,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-31,9.166,0.857,0.514,0.171,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-31,17.806,2.123,0.314,0.079,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-31,126.962,15.757,4.251,0.85,17643060,66.939,10581.936
PER,South America,Peru,2020-03-31,32.3,3.488,4.185,0.758,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-01,9.852,0.685,0.6,0.086,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-01,20.93,3.125,0.334,0.02,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-01,155.755,28.793,5.271,1.02,17643060,66.939,10581.936
PER,South America,Peru,2020-04-01,40.125,7.825,4.883,0.698,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-02,10.537,0.685,0.685,0.086,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-02,22.817,1.887,0.373,0.039,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-02,179.277,23.522,6.802,1.53,17643060,66.939,10581.936
PER,South America,Peru,2020-04-02,42.885,2.76,5.55,0.667,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-03,11.308,0.771,0.771,0.086,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-03,24.9,2.083,0.491,0.118,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-03,190.897,11.619,8.219,1.417,17643060,66.939,10581.936
PER,South America,Peru,2020-04-03,48.375,5.49,6.339,0.789,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-04,11.908,0.6,0.857,0.086,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-04,27.632,2.732,0.629,0.138,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-04,196.395,5.498,9.749,1.53,17643060,66.939,10581.936
PER,South America,Peru,2020-04-04,52.954,4.58,7.825,1.486,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-05,13.45,1.542,0.857,0,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-05,29.185,1.553,0.688,0.059,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-05,206.653,10.259,10.202,0.453,17643060,66.939,10581.936
PER,South America,Peru,2020-04-05,69.18,16.226,9.614,1.789,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-06,15.677,2.227,0.942,0.086,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-06,31.032,1.847,0.904,0.216,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-06,212.378,5.725,10.826,0.623,17643060,66.939,10581.936
PER,South America,Peru,2020-04-06,77.672,8.492,10.918,1.304,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-07,16.62,0.942,1.199,0.257,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-07,34.982,3.95,0.983,0.079,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-07,212.378,0,10.826,0,17643060,66.939,10581.936
